XCoord,YCoord,OBJECTID,XCOORD,YCOORD
-73.97559197,40.58490643,1804,-73.975592,40.584906
-73.95658625,40.58490643,1805,-73.956586,40.584906
-73.93758053,40.58490643,1806,-73.937581,40.584906
-73.91857481,40.58490643,1807,-73.918575,40.584906
-73.82354619,40.58490643,1808,-73.823546,40.584906
-73.70951186,40.58490643,1809,-73.709512,40.584906
-73.99459769,40.59953911,1810,-73.994598,40.599539
-73.97559197,40.59953911,1811,-73.975592,40.599539
-73.95658625,40.59953911,1812,-73.956586,40.599539
-73.93758053,40.59953911,1813,-73.937581,40.599539
-73.82354619,40.59953911,1814,-73.823546,40.599539
-73.78553475,40.59953911,1815,-73.785535,40.599539
-73.76652903,40.59953911,1816,-73.766529,40.599539
-73.74752331,40.59953911,1817,-73.747523,40.599539
-73.72851758,40.59953911,1818,-73.728518,40.599539
-74.03260914,40.61417180,1819,-74.032609,40.614172
-74.01360342,40.61417180,1820,-74.013603,40.614172
-73.99459769,40.61417180,1821,-73.994598,40.614172
-73.97559197,40.61417180,1822,-73.975592,40.614172
-73.95658625,40.61417180,1823,-73.956586,40.614172
-73.93758053,40.61417180,1824,-73.937581,40.614172
-73.91857481,40.61417180,1825,-73.918575,40.614172
-73.89956908,40.61417180,1826,-73.899569,40.614172
-73.74752331,40.61417180,1827,-73.747523,40.614172
-73.72851758,40.61417180,1828,-73.728518,40.614172
-74.03260914,40.62880448,1829,-74.032609,40.628804
-74.01360342,40.62880448,1830,-74.013603,40.628804
-73.99459769,40.62880448,1831,-73.994598,40.628804
-73.97559197,40.62880448,1832,-73.975592,40.628804
-73.95658625,40.62880448,1833,-73.956586,40.628804
-73.93758053,40.62880448,1834,-73.937581,40.628804
-73.91857481,40.62880448,1835,-73.918575,40.628804
-73.89956908,40.62880448,1836,-73.899569,40.628804
-73.76652903,40.62880448,1837,-73.766529,40.628804
-73.74752331,40.62880448,1838,-73.747523,40.628804
-73.72851758,40.62880448,1839,-73.728518,40.628804
-73.70951186,40.62880448,1840,-73.709512,40.628804
-74.03260914,40.64343716,1841,-74.032609,40.643437
-74.01360342,40.64343716,1842,-74.013603,40.643437
-73.99459769,40.64343716,1843,-73.994598,40.643437
-73.97559197,40.64343716,1844,-73.975592,40.643437
-73.95658625,40.64343716,1845,-73.956586,40.643437
-73.93758053,40.64343716,1846,-73.937581,40.643437
-73.91857481,40.64343716,1847,-73.918575,40.643437
-73.89956908,40.64343716,1848,-73.899569,40.643437
-73.88056336,40.64343716,1849,-73.880563,40.643437
-73.80454047,40.64343716,1850,-73.804540,40.643437
-73.78553475,40.64343716,1851,-73.785535,40.643437
-73.76652903,40.64343716,1852,-73.766529,40.643437
-73.74752331,40.64343716,1853,-73.747523,40.643437
-73.72851758,40.64343716,1854,-73.728518,40.643437
-73.70951186,40.64343716,1855,-73.709512,40.643437
-74.03260914,40.65806984,1856,-74.032609,40.658070
-74.01360342,40.65806984,1857,-74.013603,40.658070
-73.99459769,40.65806984,1858,-73.994598,40.658070
-73.97559197,40.65806984,1859,-73.975592,40.658070
-73.95658625,40.65806984,1860,-73.956586,40.658070
-73.93758053,40.65806984,1861,-73.937581,40.658070
-73.91857481,40.65806984,1862,-73.918575,40.658070
-73.89956908,40.65806984,1863,-73.899569,40.658070
-73.88056336,40.65806984,1864,-73.880563,40.658070
-73.86155764,40.65806984,1865,-73.861558,40.658070
-73.84255192,40.65806984,1866,-73.842552,40.658070
-73.80454047,40.65806984,1867,-73.804540,40.658070
-73.78553475,40.65806984,1868,-73.785535,40.658070
-73.76652903,40.65806984,1869,-73.766529,40.658070
-73.74752331,40.65806984,1870,-73.747523,40.658070
-73.72851758,40.65806984,1871,-73.728518,40.658070
-73.70951186,40.65806984,1872,-73.709512,40.658070
-74.03260914,40.67270252,1873,-74.032609,40.672703
-74.01360342,40.67270252,1874,-74.013603,40.672703
-73.99459769,40.67270252,1875,-73.994598,40.672703
-73.97559197,40.67270252,1876,-73.975592,40.672703
-73.95658625,40.67270252,1877,-73.956586,40.672703
-73.93758053,40.67270252,1878,-73.937581,40.672703
-73.91857481,40.67270252,1879,-73.918575,40.672703
-73.89956908,40.67270252,1880,-73.899569,40.672703
-73.88056336,40.67270252,1881,-73.880563,40.672703
-73.86155764,40.67270252,1882,-73.861558,40.672703
-73.84255192,40.67270252,1883,-73.842552,40.672703
-73.82354619,40.67270252,1884,-73.823546,40.672703
-73.80454047,40.67270252,1885,-73.804540,40.672703
-73.78553475,40.67270252,1886,-73.785535,40.672703
-73.76652903,40.67270252,1887,-73.766529,40.672703
-73.74752331,40.67270252,1888,-73.747523,40.672703
-73.72851758,40.67270252,1889,-73.728518,40.672703
-73.70951186,40.67270252,1890,-73.709512,40.672703
-74.03260914,40.68733520,1891,-74.032609,40.687335
-74.01360342,40.68733520,1892,-74.013603,40.687335
-73.99459769,40.68733520,1893,-73.994598,40.687335
-73.97559197,40.68733520,1894,-73.975592,40.687335
-73.95658625,40.68733520,1895,-73.956586,40.687335
-73.93758053,40.68733520,1896,-73.937581,40.687335
-73.91857481,40.68733520,1897,-73.918575,40.687335
-73.89956908,40.68733520,1898,-73.899569,40.687335
-73.88056336,40.68733520,1899,-73.880563,40.687335
-73.86155764,40.68733520,1900,-73.861558,40.687335
-73.84255192,40.68733520,1901,-73.842552,40.687335
-73.82354619,40.68733520,1902,-73.823546,40.687335
-73.80454047,40.68733520,1903,-73.804540,40.687335
-73.78553475,40.68733520,1904,-73.785535,40.687335
-73.76652903,40.68733520,1905,-73.766529,40.687335
-73.74752331,40.68733520,1906,-73.747523,40.687335
-73.72851758,40.68733520,1907,-73.728518,40.687335
-73.70951186,40.68733520,1908,-73.709512,40.687335
-74.03260914,40.70196789,1909,-74.032609,40.701968
-74.01360342,40.70196789,1910,-74.013603,40.701968
-73.99459769,40.70196789,1911,-73.994598,40.701968
-73.97559197,40.70196789,1912,-73.975592,40.701968
-73.95658625,40.70196789,1913,-73.956586,40.701968
-73.93758053,40.70196789,1914,-73.937581,40.701968
-73.91857481,40.70196789,1915,-73.918575,40.701968
-73.89956908,40.70196789,1916,-73.899569,40.701968
-73.88056336,40.70196789,1917,-73.880563,40.701968
-73.86155764,40.70196789,1918,-73.861558,40.701968
-73.84255192,40.70196789,1919,-73.842552,40.701968
-73.82354619,40.70196789,1920,-73.823546,40.701968
-73.80454047,40.70196789,1921,-73.804540,40.701968
-73.78553475,40.70196789,1922,-73.785535,40.701968
-73.76652903,40.70196789,1923,-73.766529,40.701968
-73.74752331,40.70196789,1924,-73.747523,40.701968
-73.72851758,40.70196789,1925,-73.728518,40.701968
-73.70951186,40.70196789,1926,-73.709512,40.701968
-74.03260914,40.71660057,1927,-74.032609,40.716601
-74.01360342,40.71660057,1928,-74.013603,40.716601
-73.99459769,40.71660057,1929,-73.994598,40.716601
-73.97559197,40.71660057,1930,-73.975592,40.716601
-73.95658625,40.71660057,1931,-73.956586,40.716601
-73.93758053,40.71660057,1932,-73.937581,40.716601
-73.91857481,40.71660057,1933,-73.918575,40.716601
-73.89956908,40.71660057,1934,-73.899569,40.716601
-73.88056336,40.71660057,1935,-73.880563,40.716601
-73.86155764,40.71660057,1936,-73.861558,40.716601
-73.84255192,40.71660057,1937,-73.842552,40.716601
-73.82354619,40.71660057,1938,-73.823546,40.716601
-73.80454047,40.71660057,1939,-73.804540,40.716601
-73.78553475,40.71660057,1940,-73.785535,40.716601
-73.76652903,40.71660057,1941,-73.766529,40.716601
-73.74752331,40.71660057,1942,-73.747523,40.716601
-73.72851758,40.71660057,1943,-73.728518,40.716601
-73.70951186,40.71660057,1944,-73.709512,40.716601
-74.03260914,40.73123325,1945,-74.032609,40.731233
-74.01360342,40.73123325,1946,-74.013603,40.731233
-73.99459769,40.73123325,1947,-73.994598,40.731233
-73.97559197,40.73123325,1948,-73.975592,40.731233
-73.95658625,40.73123325,1949,-73.956586,40.731233
-73.93758053,40.73123325,1950,-73.937581,40.731233
-73.91857481,40.73123325,1951,-73.918575,40.731233
-73.89956908,40.73123325,1952,-73.899569,40.731233
-73.88056336,40.73123325,1953,-73.880563,40.731233
-73.86155764,40.73123325,1954,-73.861558,40.731233
-73.84255192,40.73123325,1955,-73.842552,40.731233
-73.82354619,40.73123325,1956,-73.823546,40.731233
-73.80454047,40.73123325,1957,-73.804540,40.731233
-73.78553475,40.73123325,1958,-73.785535,40.731233
-73.76652903,40.73123325,1959,-73.766529,40.731233
-73.74752331,40.73123325,1960,-73.747523,40.731233
-73.72851758,40.73123325,1961,-73.728518,40.731233
-73.70951186,40.73123325,1962,-73.709512,40.731233
-74.03260914,40.74586593,1963,-74.032609,40.745866
-74.01360342,40.74586593,1964,-74.013603,40.745866
-73.99459769,40.74586593,1965,-73.994598,40.745866
-73.97559197,40.74586593,1966,-73.975592,40.745866
-73.95658625,40.74586593,1967,-73.956586,40.745866
-73.93758053,40.74586593,1968,-73.937581,40.745866
-73.91857481,40.74586593,1969,-73.918575,40.745866
-73.89956908,40.74586593,1970,-73.899569,40.745866
-73.88056336,40.74586593,1971,-73.880563,40.745866
-73.86155764,40.74586593,1972,-73.861558,40.745866
-73.84255192,40.74586593,1973,-73.842552,40.745866
-73.82354619,40.74586593,1974,-73.823546,40.745866
-73.80454047,40.74586593,1975,-73.804540,40.745866
-73.78553475,40.74586593,1976,-73.785535,40.745866
-73.76652903,40.74586593,1977,-73.766529,40.745866
-73.74752331,40.74586593,1978,-73.747523,40.745866
-73.72851758,40.74586593,1979,-73.728518,40.745866
-73.70951186,40.74586593,1980,-73.709512,40.745866
-74.03260914,40.76049861,1981,-74.032609,40.760499
-74.01360342,40.76049861,1982,-74.013603,40.760499
-73.99459769,40.76049861,1983,-73.994598,40.760499
-73.97559197,40.76049861,1984,-73.975592,40.760499
-73.95658625,40.76049861,1985,-73.956586,40.760499
-73.93758053,40.76049861,1986,-73.937581,40.760499
-73.91857481,40.76049861,1987,-73.918575,40.760499
